,0
0,0.0310126409365057
1,0.03256508914844477
2,0.0317593574813519
3,0.03278817073509785
4,0.0315445595792405
5,0.029685296385764663
6,0.029890834154944937
7,0.03149119410869209
8,0.03228338445629785
9,0.03287256534785663
10,0.03174471497038515
11,0.031040755180507668
12,0.03280276055404869
13,0.032441764790752656
14,0.032146626185171244
15,0.030665288881908993
16,0.028488707979604726
17,0.031796486934971224
18,0.03208090279650103
19,0.032141636273827906
20,0.033088851864995376
21,0.03163343103669606
22,0.03260603861198117
23,0.03318610931512604
24,0.03216806517575682
25,0.03114495605875367
26,0.02911462763048513
27,0.032177689475731956
28,0.03393570287366689
