,0
0,0.02084074292468619
1,0.02089550192468619
2,0.020812178752083334
3,0.02091804780293501
4,0.02082541917118998
5,0.020903135840670863
6,0.020869509435146445
7,0.020830898118997913
8,0.020931113446540882
9,0.020642385964876032
10,0.020679056263485474
11,0.02089337302301255
12,0.02083255954488518
13,0.020922483853249473
14,0.0208338480480167
15,0.020854185571129707
16,0.020925414909853248
17,0.02083928356367432
18,0.0208768705125523
19,0.020651013043478262
20,0.020922453870020966
21,0.0208370079039666
22,0.02091949621174004
23,0.020842025129436326
24,0.020912861220125784
25,0.02092097021593291
26,0.02083241143632568
27,0.020875639018828447
28,0.020766352311850308
